Model,Precision,Recall,F1,F2,Specificity
Logistic Regression,0.6228070175438597,0.9466666666666667,0.7513227513227513,0.857487922705314,0.044444444444444446
Bedrock RAG,0.7441860465116279,0.8533333333333334,0.7950310559006211,0.8290155440414507,0.5111111111111111
